Book ID,Title,Author,Image URL,Book URL,Description,Age,Genres
1,Թունելից 13 կմ հեռավորության վրա,Ռուբեն Եսայան,https://zangakbookstore.am/media/products/300x0/25ee5bd6f17ca76888a3cea980f1df6a.png,https://zangakbookstore.am/tunelits-13-km-heravorutyan-vra,"Ռուբեն Եսայանի հեղինակած «Թունելից 13 կմ հեռավորության վրա» վեպը հայկական գրականության առաջին սարսափ-թրիլլեր ժանրի վեպն է:
 
Այն պատմում է Երևանի Պետական Համալսարանի ֆակուլտետներից մեկում սովորող մի խումբ ուսանողների մասին, որոնք ուսումնական տարվա ավարտին` քննություններից հետո, որոշում են գնալ քաղաքից դուրս, սակայն նրանց մտքով անգամ չի անցնում, թե ինչպիսի սարսափ է նրանց սպասվում այնտեղ․․․",16.0,"Թրիլլեր, Երիտասարդական"
2,Խատուտիկ,Արփինե Լևոնյան,https://zangakbookstore.am/media/products/300x0/bb4becfb1d9dbf40f2f201b81e4beb54.jpg,https://zangakbookstore.am/khatutik,,16.0,Unknown
3,Այս աղջիկը,Սոնա Վան,https://zangakbookstore.am/media/products/300x0/a966abd639e3027593bf549064162008.jpg,https://zangakbookstore.am/ays-akhjiky,,16.0,Unknown
4,Սպանություն դրախտում,Ջեսահ,https://zangakbookstore.am/media/products/300x0/14286fa09564612cd07ec08a3b3adcd9.jpg,https://zangakbookstore.am/spanutyun-drakhtum,"Երբ դրախտում խաղաղությունը խաթարվում է անսպասելի և սարսափելի սպանություններով, հրեշտակապետներն ընկնում են անելանելի դրության մեջ։ Դեպքերը բացահայտելու և վերահաս վտանգները կանխելու համար նրանք դժոխքից օգնության են կանչում փորձառու քննիչ Իսայանին։ Նրա առաքելությունը բարդ է և արկածներով լի: Որո՞նք են այդ խորհրդավոր հանցագործությունների շարժառիթները: Ո՞վ է համարձակվել խախտել Երկնքի և Երկրի հավասարակշռությունը և անբիծ միջավայր բերել մեղքը: Իսայանի ուղին անցնում է դժոխքի մռայլ թագավորությունից մինչև դրախտի շողացող պարտեզները՝ բացահայտելով գաղտնիքներ, որոնք պտտվում են անցյալի և ներկայի Հայաստանի շուրջ։
Կիրականացնի՞ արդյոք քննիչն իրեն վստահված առաքելությունը, կկարողանա՞ քանդել այս խճճված հանգույցը։ Ջեսահի «Սպանություն դրախտում» վեպը պատմություն է բարու և չարի բախման, վախի և հուսահատության մեջ հույսի փնտրտուքի մասին:
Իրադարձությունները զարգանում են հետադարձ անդրադարձումներով, և ամեն քայլափոխին ճշմարտությունը դառնում է ավելի վտանգավոր, քան ցանկացած սուտ։",16.0,"Դետեկտիվ, Առեղծված"
5,Աճող սիրտ,Անահիտ Ղազախեցյան,https://zangakbookstore.am/media/products/300x0/c6dc3f0fdabf9b1063a5df89e0363742.jpg,https://zangakbookstore.am/achokh-sirt,"«Աճող սիրտ» ժողովածուն բանաստեղծական ճամփորդություն է տարբեր տարածություններով՝ սիրո, կապվածության, ցավի, հարափոփոխ հիշողության փնտրտուքներով։ Այն ժամանակակից գրող Անահիտ Ղազախեցյանի բանաստեղծությունների երկրորդ ժողովածուն է, որում մեկտեղվել են վերջին վեց տարիների գործերը։",16.0,"Պոեզիա, Ժամանակակից"
6,Համլետ,Ուիլյամ Շեքսպիր,https://zangakbookstore.am/media/products/300x0/13cadad2b20d3ea3aae1a6445960c917.jpg,https://zangakbookstore.am/hamlet-3,,16.0,Unknown
7,Գեշ անեկդոտ,Ֆյոդոր Դոստոևսկի,https://zangakbookstore.am/media/products/300x0/aa7abef8e2473317fcb96f1a5917c79a.jpg,https://zangakbookstore.am/gesh-anekdot,,16.0,Unknown
8,Լավագույնը հյուսիսային քամու դեմ,Դանիել Գլաթաուեր,https://zangakbookstore.am/media/products/300x0/6a975403dc3567d7f973ce48c3fae8d2.jpg,https://zangakbookstore.am/lavaguyny-hyusisayin-qamu-dem,"Դանիել Գլաթաուերի 2006 թվականին լույս տեսած «Լավագույնը հյուսիսային քամու դեմ» վեպը պատմում է տառասխալի պատճառով սկսված էլեկտրոնային նամակագրության մասին, որը շոշափում է ժամանակակից մարդու, վիրտուալ իրականության և դրա հատ նրա հարաբերությունների խնդիրները։  

Կա՞ արդյոք ավելի պաշտպանված և մինևնույն ժամանակ անպաշտպան տարածք քան վիրտուալը․․․ «Լավագույնը Հյուսիսային քամու դեմ»-ը ժամանակակից նամակագրական վեպ է, որը ծավալվում է հենց այս տարածքում։ Սխալ մուտքագրված մեկ տառ, և Էմմի Ռոթների էլեկտրոնային նամակները հայտնվում են hոգելեզվաբան Լեո Լայքեի փոստարկղում: Լեոն, այնուամենայնիվ, պատասխանում է և սկսվում է նամակների զվարճալի փոխանակում, որը դառնում է ավելի ու ավելի անձնական, վերածվում կախվածություն․․․  

Կբավավարի՞ արդյոք միայն վիրտուալ շփումը, կհամարձակվե՞ն/կխիզախեն արդյոք Լեոն և Էմմին անտեսել խոչընդոտներն ու ծանոթանալ նաև իրական կյանքում ․․․",16.0,"Ժամանակակից, Դրամա"
9,Հետգրություն Փարիզից,Մարկ Լևի,https://zangakbookstore.am/media/products/300x0/ee8e2f9dcbfdc6af8c0135fb923fd30f.jpeg,https://zangakbookstore.am/hetgrutyun-parizits,,16.0,Unknown
10,Աչքը Լսում է Պոլ Կլոդել,Պոլ Կլոդել,https://zangakbookstore.am/media/products/300x0/e42c175655f71b5de1dda08b2f13ea96.jpg,https://zangakbookstore.am/achqy-lsum-e-pol-klodel,"«Ժամանակ և Խոսք» մատենաշարի սույն հատորը ներկայացնում է ֆրանսիացի բանաստեղծ, թատերագիր, մտածող Պոլ Կլոդելի (1868-1955) «Աչքը լսում է» էսսեների նշանավոր ժողովածուն (1946): Հեղինակն անդրադառնում է հոլանդական, իսպանական գեղանկարչությանը, ֆրանսիական տաճարների վիտրաժներին, ճարտարապետությանը, երաժշտությանը, լուսանկարչությանը, թանկարժեք քարերին…",16.0,"Պոեզիա, Ժամանակակից"
